,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
86,67,luxembourg,#00067-MAIRIE DE HESPERANGE,MAIRIE DE HESPERANGE - ROUTE DE THIONVILLE 474,"{'latitude': 49.571924, 'longitude': 6.15965}",False,False,OPEN,2022-04-11T21:12:04Z,True,False,NULL,"{'availabilities': {'bikes': 14, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 14, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
87,87,luxembourg,#00087-NATIONALBIBLIOTHEIK,NATIONALBIBLIOTHEIK - Bd. KONRAD ADENAUER (Immeuble Bibliothèque Nationale),"{'latitude': 49.629865, 'longitude': 6.166252}",False,False,OPEN,2022-04-11T21:11:38Z,True,False,NULL,"{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
88,79,luxembourg,#00079-GARE CENTRALE,GARE CENTRALE - PLACE DE LA GARE (Quai n°1),"{'latitude': 49.6017, 'longitude': 6.1331}",False,False,OPEN,2022-04-11T21:15:08Z,True,False,NULL,"{'availabilities': {'bikes': 4, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
89,96,luxembourg,#00096-BERTRANGE - GARE,Rue de l'industrie/Rue Chemin de Fer/ Rue de Strassen,"{'latitude': 49.613161, 'longitude': 6.060382}",False,False,OPEN,2022-04-11T21:12:59Z,True,False,NULL,"{'availabilities': {'bikes': 9, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 9, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",NULL
90,26,luxembourg,#00026-HOLLERECHER PLAZ,HOLLERECHER PLAZ - PLACE SAINT PIERRE ET PAUL / RUE BAUDOUIN,"{'latitude': 49.598613, 'longitude': 6.117957}",False,False,OPEN,2022-04-11T21:12:31Z,True,False,NULL,"{'availabilities': {'bikes': 12, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 12, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",NULL
91,54,luxembourg,#00054-CLOCHE D' OR,CLOCHE D'OR - RUE JEAN PIRET ( DEVANT N° 3 ),"{'latitude': 49.583377, 'longitude': 6.115817}",False,False,OPEN,2022-04-11T21:12:55Z,True,False,NULL,"{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
92,81,luxembourg,#00081-CARMEL,Allée du Carmel/Rue Paul Albrecht face Police,"{'latitude': 49.62019, 'longitude': 6.172682}",False,False,OPEN,2022-04-11T21:14:19Z,True,False,NULL,"{'availabilities': {'bikes': 10, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 10, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
93,116,luxembourg,#00116-CHARLY'S STATION,CHARLY'S STATION - RUE DE GRÜNEWALD / CHÂTEAU D'EAU À 2633 SENNINGERBERG,"{'latitude': 49.649823, 'longitude': 6.225796}",False,False,OPEN,2022-04-11T21:12:22Z,True,False,NULL,"{'availabilities': {'bikes': 11, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 11, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
94,70,luxembourg,#00070-GEMENG STROOSSEN,- GEMENG STROOSSEN - RUE DES ROMAINS,"{'latitude': 49.61909, 'longitude': 6.07227}",True,False,OPEN,2022-04-11T21:14:03Z,True,False,NULL,"{'availabilities': {'bikes': 5, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 5, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
95,9,luxembourg,#00009-CONVICT,CONVICT - PLACE DU FOYER,"{'latitude': 49.6059, 'longitude': 6.1199}",True,False,OPEN,2022-04-11T21:13:15Z,True,False,NULL,"{'availabilities': {'bikes': 11, 'stands': 6, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 11, 'stands': 6, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
