,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
20,115,luxembourg,#00115-CENTRE CULTUREL CAP,CENTRE CULTUREL CAP - ROUTE D'ARLON N°49 / PLACE DE L'EGLISE,"{'latitude': 49.645239, 'longitude': 5.987938}",False,False,OPEN,2022-04-19T08:46:41Z,True,False,,"{'availabilities': {'bikes': 14, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 14, 'stands': 1, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
21,82,luxembourg,#00082-GARE CENTS-HAMM,GARE CENTS-HAMM - RUE DES ALOUETTES / GARE DE CENTS-HAMM,"{'latitude': 49.614749, 'longitude': 6.164772}",False,False,OPEN,2022-04-19T08:43:36Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
22,1,luxembourg,#00001-LEON XIII,LEON XIII-RUE DE BONNEVOIE ( DEVANT N° 103 ),"{'latitude': 49.598211, 'longitude': 6.137526}",False,False,OPEN,2022-04-19T08:43:53Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
23,14,luxembourg,#00014-KNUEDLER,KNUEDLER - PLACE GUILLAUME,"{'latitude': 49.610126, 'longitude': 6.132084}",False,False,OPEN,2022-04-19T08:47:19Z,True,False,,"{'availabilities': {'bikes': 9, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 9, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",
24,8,luxembourg,#00008-METZER PLAZ,METZER PLAZ - PLACE DE METZ,"{'latitude': 49.607346, 'longitude': 6.12762}",False,False,OPEN,2022-04-19T08:43:21Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 7, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
25,38,luxembourg,#00038-HELLEG GEESCHT,HELLEG GEESCHT - PLATEAU SAINT ESPRIT,"{'latitude': 49.60771, 'longitude': 6.13456}",False,False,OPEN,2022-04-19T08:45:54Z,True,False,,"{'availabilities': {'bikes': 5, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 5, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
26,19,luxembourg,#00019-PHILHARMONIE,PHILHARMONIE - AVENUE JF KENNEDY / PLACE DE L'EUROPE,"{'latitude': 49.619345, 'longitude': 6.143907}",False,False,OPEN,2022-04-19T08:47:01Z,True,False,,"{'availabilities': {'bikes': 14, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 14, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",
27,50,luxembourg,#00050-EUROPAPARLAMENT,"EUROPAPARLAMENT - Rue Léon Hammes, prés de l'arrêt Europaparlament","{'latitude': 49.620607, 'longitude': 6.147885}",False,False,OPEN,2022-04-19T08:43:22Z,True,False,,"{'availabilities': {'bikes': 9, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 9, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
28,78,luxembourg,#00078-ST MATHIEU,Rue St.Mathieu/ prés de l'arrêt Pafendall,"{'latitude': 49.619061, 'longitude': 6.1323}",True,False,OPEN,2022-04-19T08:44:03Z,True,False,,"{'availabilities': {'bikes': 13, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 13, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",
29,30,luxembourg,#00030-MERKELS PLAZ,- MERKELS PLAZ - RUE JEAN BAPTISTE MERKELS / Bd CHARLES MARX,"{'latitude': 49.599846, 'longitude': 6.122565}",False,False,OPEN,2022-04-19T08:47:05Z,True,False,,"{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
